file algorithm pattern num_shifts num_comparisons prep_cost
797.htm naive said 3995 3995 0
499.htm naive bp 3484 3484 0
527.htm naive down 6274 6274 0
1671.htm naive ex 88273 88273 0
1678.htm naive aid 3245 3245 0
1368.htm naive oil 745 745 0
683.htm naive day 1340 1340 0
1931.htm naive safe 4244 4244 0
1474.htm naive bp 6346 6346 0
689.htm naive rig 4905 4905 0
885.htm naive sank 3296 3296 0
536.htm naive historic 5149 5149 0
436.htm naive ama 2935 2935 0
1632.htm naive set 5715 5715 0
1714.htm naive lion 5627 5627 0
872.htm naive no 5670 5670 0
29.htm naive oil 4928 4928 0
794.htm naive field 1669 1669 0
761.htm naive shore 6398 6398 0
1549.htm naive energy 6617 6617 0
797.htm finite_automata said 3737 3737 64
499.htm finite_automata bp 3429 3429 14
527.htm finite_automata down 6094 6094 64
1671.htm finite_automata ex 81003 81003 14
1678.htm finite_automata aid 3065 3065 33
1368.htm finite_automata oil 704 704 33
683.htm finite_automata day 1289 1289 33
1931.htm finite_automata safe 3983 3983 64
1474.htm finite_automata bp 6252 6252 14
689.htm finite_automata rig 4663 4663 33
885.htm finite_automata sank 3102 3102 64
536.htm finite_automata historic 4961 4961 329
436.htm finite_automata ama 2728 2728 24
1632.htm finite_automata set 5393 5393 33
1714.htm finite_automata lion 5430 5430 64
872.htm finite_automata no 5389 5389 14
29.htm finite_automata oil 4648 4648 33
794.htm finite_automata field 1620 1620 110
761.htm finite_automata shore 6049 6049 110
1549.htm finite_automata energy 6030 6030 153
797.htm KMP said 3737 3954 4
499.htm KMP bp 3429 3472 2
527.htm KMP down 6094 6271 4
1671.htm KMP ex 81003 88161 2
1678.htm KMP aid 3065 3228 3
1368.htm KMP oil 704 737 3
683.htm KMP day 1289 1339 3
1931.htm KMP safe 3983 4204 4
1474.htm KMP bp 6252 6322 2
689.htm KMP rig 4663 4881 3
885.htm KMP sank 3102 3276 4
536.htm KMP historic 4961 5124 8
436.htm KMP ama 2728 2912 3
1632.htm KMP set 5393 5683 3
1714.htm KMP lion 5430 5604 4
872.htm KMP no 5389 5660 2
29.htm KMP oil 4648 4901 3
794.htm KMP field 1620 1655 5
761.htm KMP shore 6049 6380 5
1549.htm KMP energy 6030 6555 7
797.htm naive day 3842 3842 0
499.htm naive water 3494 3494 0
527.htm naive ban 6194 6194 0
1671.htm naive shouldering 85423 85423 0
1678.htm naive clud 3143 3143 0
1368.htm naive of 741 741 0
683.htm naive gulf 1301 1301 0
1931.htm naive dollar 4122 4122 0
1474.htm naive seem 6604 6604 0
689.htm naive pipe 4786 4786 0
885.htm naive escape 3418 3418 0
536.htm naive agree 5244 5244 0
436.htm naive for 2777 2777 0
1632.htm naive panel 5505 5505 0
